Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
74,chapin_20004_pump_sprayer_1_gallon_sures,Link,Unknown Context,await page.locator('div#CardInstancewufRyY19dr5JKvVLrNk_3g > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel first-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(6) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstancewufRyY19dr5JKvVLrNk_3g']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel first-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][6]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[6]/span[1]/a[1],div#CardInstancewufRyY19dr5JKvVLrNk_3g > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel first-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(6) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(1234, 1436.875)",126 × 15,80
75,flexzilla_garden_hose_5_8_in_x_50_ft_lig,Link,Unknown Context,await page.locator('div#CardInstancewufRyY19dr5JKvVLrNk_3g > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel first-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(7) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstancewufRyY19dr5JKvVLrNk_3g']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel first-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][7]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[7]/span[1]/a[1],div#CardInstancewufRyY19dr5JKvVLrNk_3g > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel first-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(7) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(1379.5, 1436.875)",236 × 15,80
76,bigfoot_clear_shower_curtain_72x72_odorl,Link,Unknown Context,await page.locator('div#CardInstancewufRyY19dr5JKvVLrNk_3g > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel first-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(8) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstancewufRyY19dr5JKvVLrNk_3g']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel first-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][8]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[8]/span[1]/a[1],div#CardInstancewufRyY19dr5JKvVLrNk_3g > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel first-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(8) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(1625.5, 1436.875)",200 × 15,80
77,top_picks_for_india_h2,Interactive Element,Top picks for India,await page.getByText('Top picks for India'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section as-title-block')][1]/h2[contains(@class, 'as-title-block-left')][1]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/h2[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section as-title-block > h2.as-title-block-left,,,as-title-block-left,"(234.5, 1610.5)",185.125 × 31.5,85
78,casio_mdv106_series_unisex_analog_watch,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][1]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[1]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card > span.a-list-item > a.a-link-normal,,,a-link-normal,"(250, 1738.375)",124 × 15,80
79,silverstone_technology_flp02w_retro_insp_a,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(2) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][2]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[2]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(2) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(396.5, 1738.375)",141 × 15,80
80,take_nothing_personally_how_to_stop_reac,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(3) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][3]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[3]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(3) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(562, 1738.375)",120 × 15,80
81,the_children_s_place_boys_pull_on_cargo,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(4) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][4]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[4]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(4) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(729.5, 1738.375)",95 × 15,80
82,vikio_home_built_in_insert_range_hood_30,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(5) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][5]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[5]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(5) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(859.5, 1738.375)",269.984375 × 15,80
83,waterpik_aquarius_water_flosser_for_teet,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(6) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][6]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[6]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(6) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(1139.5, 1738.375)",206 × 15,80
84,ingenuity_keep_cozy_3_in_1_grow_with_me_a,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(7) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][7]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[7]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(7) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(1355.5, 1738.375)",204 × 15,80
85,ninja_slushi_max_xxl_smart_frozen_drink,Link,Unknown Context,await page.locator('div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(8) > span.a-list-item > a.a-link-normal'),"//div[@id='CardInstance0oJop_SzlFrwi89yT-fH9Q']/div[contains(@class, 'a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler')]/div[contains(@class, 'a-section a-spacing-none feed-carousel')][2]/div[contains(@class, 'a-section feed-carousel-viewport')][1]/ul[contains(@class, 'a-unordered-list a-nostyle a-horizontal feed-carousel-shelf')][1]/li[contains(@class, 'feed-carousel-card')][8]/span[contains(@class, 'a-list-item')]/a[contains(@class, 'a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[8]/span[1]/a[1],div#CardInstance0oJop_SzlFrwi89yT-fH9Q > div.a-section a-spacing-none shogun-widget card-lite product-shoveler aui-desktop fresh-shoveler > div.a-section a-spacing-none feed-carousel:nth-of-type(2) > div.a-section feed-carousel-viewport > ul.a-unordered-list a-nostyle a-horizontal feed-carousel-shelf > li.feed-carousel-card:nth-of-type(8) > span.a-list-item > a.a-link-normal,,,a-link-normal,"(1569.5, 1738.375)",254 × 15,80
86,best_sellers_in_home_kitchen_toys_for_all_ages_h2,Interactive Element,Toys for all ages - Best Sellers in Home & Kitchen,await page.getByText('Toys for all ages'),"//div[@id='CardInstance-Y9w6TsXkIGeVUncf8GpOQ']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline truncate-2line')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[3]/div[1]/div[1]/h2[1],div#CardInstance-Y9w6TsXkIGeVUncf8GpOQ > div.a-cardui-header > h2.a-color-base headline truncate-2line,,,a-color-base headline truncate-2line,"(234.5, 1912)",310 × 27.296875,85
87,best_sellers_in_home_kitchen_have_more_fun_with_fa,Interactive Element,Have more fun with family - Best Sellers in Home & Kitchen,await page.getByText('Have more fun with family'),"//div[@id='CardInstancelpJRyrkO1uNcPogr_SYTNQ']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline truncate-2line')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[4]/div[1]/div[1]/h2[1],div#CardInstancelpJRyrkO1uNcPogr_SYTNQ > div.a-cardui-header > h2.a-color-base headline truncate-2line,,,a-color-base headline truncate-2line,"(604.5, 1912)",310 × 27.296875,85
88,best_sellers_in_home_kitchen_deals_on_top_categori,Interactive Element,Deals on top categories - Best Sellers in Home & Kitchen,await page.getByText('Deals on top categories'),"//div[@id='CardInstanceXVL2I-4gKpcoHXgrKambLA']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline truncate-2line')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[5]/div[1]/div[1]/h2[1],div#CardInstanceXVL2I-4gKpcoHXgrKambLA > div.a-cardui-header > h2.a-color-base headline truncate-2line,,,a-color-base headline truncate-2line,"(974.5, 1912)",310 × 27.296875,85
89,best_sellers_in_home_kitchen_gaming_merchandise_h2,Interactive Element,Gaming merchandise - Best Sellers in Home & Kitchen,await page.getByText('Gaming merchandise'),"//div[@id='CardInstanceiThiPEgThyL4uJAeRiKRyw']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline truncate-2line')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[6]/div[1]/div[1]/h2[1],div#CardInstanceiThiPEgThyL4uJAeRiKRyw > div.a-cardui-header > h2.a-color-base headline truncate-2line,,,a-color-base headline truncate-2line,"(1344.5, 1912)",310 × 27.296875,85
90,toys_for_all_ages_ride_on_s,Link,Ride on's - Toys for all ages,await page.getByLabel('Ride on's'),"//div[@id='CardInstance-Y9w6TsXkIGeVUncf8GpOQ']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp')][1]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/a[1],div#CardInstance-Y9w6TsXkIGeVUncf8GpOQ > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(234.5, 1949.296875)",147.25 × 115.84375,95
91,toys_for_all_ages_building_construction,Link,Building & construction - Toys for all ages,await page.getByLabel('Building & construction'),"//div[@id='CardInstance-Y9w6TsXkIGeVUncf8GpOQ']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n')][2]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[2]/a[1],div#CardInstance-Y9w6TsXkIGeVUncf8GpOQ > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n:nth-of-type(2) > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(397.25, 1949.296875)",147.25 × 115.84375,95
92,have_more_fun_with_family_outdoor_play_sets,Link,Outdoor Play Sets - Have more fun with family,await page.getByLabel('Outdoor Play Sets'),"//div[@id='CardInstancelpJRyrkO1uNcPogr_SYTNQ']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp')][1]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[4]/div[1]/div[2]/div[1]/div[1]/a[1],div#CardInstancelpJRyrkO1uNcPogr_SYTNQ > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(604.5, 1949.296875)",147.25 × 115.84375,95
93,have_more_fun_with_family_learning_toys,Link,Learning Toys - Have more fun with family,await page.getByLabel('Learning Toys'),"//div[@id='CardInstancelpJRyrkO1uNcPogr_SYTNQ']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n')][2]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[4]/div[1]/div[2]/div[1]/div[2]/a[1],div#CardInstancelpJRyrkO1uNcPogr_SYTNQ > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n:nth-of-type(2) > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(767.25, 1949.296875)",147.25 × 115.84375,95
94,deals_on_top_categories_books,Link,Books - Deals on top categories,await page.getByLabel('Books'),"//div[@id='CardInstanceXVL2I-4gKpcoHXgrKambLA']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp')][1]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[5]/div[1]/div[2]/div[1]/div[1]/a[1],div#CardInstanceXVL2I-4gKpcoHXgrKambLA > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(974.5, 1949.296875)",147.25 × 115.84375,95
95,deals_on_top_categories_fashion,Link,Fashion - Deals on top categories,await page.getByLabel('Fashion'),"//div[@id='CardInstanceXVL2I-4gKpcoHXgrKambLA']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n')][2]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[3]/div[1]/div[5]/div[1]/div[2]/div[1]/div[2]/a[1],div#CardInstanceXVL2I-4gKpcoHXgrKambLA > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n:nth-of-type(2) > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(1137.25, 1949.296875)",147.25 × 115.84375,95
